Type	variable	Score	Step	Model
Llama70bV3_Dynamic_FineTuned_NoExamples_Step1	precision	0.461538461538462	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step1	precision	0.884615384615385	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step1	precision	0.761904761904762	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step1	precision	0.571428571428571	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step1	precision	0.833333333333333	Step1	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step1	precision	0.863636363636364	Step1	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step1	precision	0.736842105263158	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step1	precision	0.722222222222222	Step1	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step1	precision	0.928571428571429	Step1	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step1	precision	0.944444444444444	Step1	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step1	precision	0.956521739130435	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step1	precision	0.933333333333333	Step1	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step1	precision	0	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step1	precision	0.888888888888889	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step1	precision	0.571428571428571	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step1	precision	0.705882352941177	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step1	precision	0.923076923076923	Step1	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step1	precision	0.928571428571429	Step1	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step1	precision	0.944444444444444	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step1	precision	0.857142857142857	Step1	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step1	precision	0.526315789473684	Step1	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step1	precision	0.666666666666667	Step1	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step1	precision	1	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step1	precision	0.714285714285714	Step1	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step2	precision	0.4	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step2	precision	1	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step2	precision	0	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step2	precision	0.384615384615385	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step2	precision	0.833333333333333	Step2	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step2	precision	0.857142857142857	Step2	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step2	precision	0.75	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step2	precision	0.833333333333333	Step2	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step2	precision	0.888888888888889	Step2	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step2	precision	1	Step2	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step2	precision	1	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step2	precision	0.933333333333333	Step2	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step2	precision	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step2	precision	0.875	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step2	precision	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step2	precision	0.5	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step2	precision	0	Step2	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step2	precision	0	Step2	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step2	precision	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step2	precision	0	Step2	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step2	precision	0.272727272727273	Step2	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step2	precision	0.428571428571429	Step2	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step2	precision	0	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step2	precision	0.666666666666667	Step2	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step3	precision	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step3	precision	1	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step3	precision	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step3	precision	0.444444444444444	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step3	precision	1	Step3	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step3	precision	0.666666666666667	Step3	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step3	precision	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step3	precision	0	Step3	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step3	precision	0.833333333333333	Step3	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step3	precision	1	Step3	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step3	precision	1	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step3	precision	0.909090909090909	Step3	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step3	precision	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step3	precision	0	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step3	precision	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step3	precision	0	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step3	precision	0	Step3	Llama8bV1_FineTuned_AllExamples
