"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama70b_Vanilla","Llama70b","Vanilla","precision",0.579545454545455,0.527512626262626,0.631578947368421,0.0478569130851215
"Llama70b_AllExamples","Llama70b","AllExamples","precision",0.645390070921986,0.593406593406593,0.703050775138671,0.0451019939944165
"Llama70b_DynExamples","Llama70b","DynExamples","precision",0.568181818181818,0.504025423728814,0.645506454816286,0.0681019671969539
"Llama70b_StringLookup","Llama70b","StringLookup","precision",0.454545454545455,0.365075757575758,0.557381465517241,0.120886910486349
"Llama70b_NegExamples","Llama70b","NegExamples","precision",0.692307692307692,0.649111876988335,0.755691214470284,0.040382610475891
"Llama70b_PosExamples","Llama70b","PosExamples","precision",0.557894736842105,0.495611773759138,0.615953997558743,0.0556075044423171
"Llama70b_TotN3","Llama70b","TotN3","precision",0.578034682080925,0.521394495412844,0.639337225274725,0.0503076348279391
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","precision",0.581920903954802,0.530163427890701,0.643268383001234,0.0509849687189549
"Llama8b_Vanilla","Llama8b","Vanilla","precision",0.45,0.34625,0.546607142857143,0.118632384668344
"Llama8b_AllExamples","Llama8b","AllExamples","precision",0.583333333333333,0.452564102564103,0.730454545454545,0.12263889413404
"Llama8b_DynExamples","Llama8b","DynExamples","precision",0.47,0.399751243781095,0.54469696969697,0.0857378557415391
"Llama8b_StringLookup","Llama8b","StringLookup","precision",0.636363636363636,0.544267654751526,0.709677419354839,0.0775681743029881
"Llama8b_NegExamples","Llama8b","NegExamples","precision",0.5,0.40296875,0.585203598484848,0.101869131366173
"Llama8b_PosExamples","Llama8b","PosExamples","precision",0.591463414634146,0.533980582524272,0.649364330637916,0.0518256482968047
"Llama8b_TotN3","Llama8b","TotN3","precision",0.483333333333333,0.381340956340956,0.573541963015647,0.0979526391186698
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","precision",0.479166666666667,0.385745073891626,0.566666666666667,0.101115168884066
"Llama70b_Vanilla","Llama70b","Vanilla","recall",0.528497409326425,0.469854080578512,0.588583638583638,0.0555863958755389
"Llama70b_AllExamples","Llama70b","AllExamples","recall",0.471502590673575,0.414846551724138,0.516814971751412,0.0547087455129293
"Llama70b_DynExamples","Llama70b","DynExamples","recall",0.259067357512953,0.219870071684588,0.308676021116977,0.100775957248768
"Llama70b_StringLookup","Llama70b","StringLookup","recall",0.129533678756477,0.0937675070028011,0.168077956989247,0.150348108716526
"Llama70b_NegExamples","Llama70b","NegExamples","recall",0.466321243523316,0.416576360887097,0.518689655172414,0.0582576608622327
"Llama70b_PosExamples","Llama70b","PosExamples","recall",0.549222797927461,0.485234440706476,0.604309985407546,0.0546723540817287
"Llama70b_TotN3","Llama70b","TotN3","recall",0.518134715025907,0.464870689655172,0.568465732087227,0.0569073213771189
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","recall",0.533678756476684,0.483463114754098,0.586382113821138,0.0540130084758053
