"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama70b_Vanilla","Llama70b","Vanilla","precision",0.582089552238806,0.531485615079365,0.628563113516235,0.047667040878466
"Llama70b_AllExamples","Llama70b","AllExamples","precision",0.634285714285714,0.579424778761062,0.683132025831141,0.0427477790424233
"Llama70b_DynExamples","Llama70b","DynExamples","precision",0.526970954356846,0.483682983682984,0.568684041871395,0.0432538045537628
"Llama70b_StringLookup","Llama70b","StringLookup","precision",0.608187134502924,0.552421129860602,0.658660271095838,0.0451375655550302
"Llama70b_NegExamples","Llama70b","NegExamples","precision",0.647435897435897,0.590477346278317,0.709551543389633,0.0438467163021046
"Llama70b_PosExamples","Llama70b","PosExamples","precision",0.595854922279793,0.528191207627119,0.651518595041322,0.0519307233899474
"Llama70b_TotN3","Llama70b","TotN3","precision",0.518181818181818,0.475177304964539,0.566417009249743,0.0485545908771457
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","precision",0.519823788546256,0.480777715197597,0.578959359605911,0.0487434221055896
"Llama8b_Vanilla","Llama8b","Vanilla","precision",0.58,0.523063255152807,0.643560423688011,0.054326016376226
"Llama8b_AllExamples","Llama8b","AllExamples","precision",0.666666666666667,0.470833333333333,0.826136363636364,0.140437246772469
"Llama8b_DynExamples","Llama8b","DynExamples","precision",0.46,0.372870967741936,0.548746081504702,0.106659798278451
"Llama8b_StringLookup","Llama8b","StringLookup","precision",0.5,0.421461538461538,0.58419452887538,0.0913070377844787
"Llama8b_NegExamples","Llama8b","NegExamples","precision",0.523809523809524,0.357142857142857,0.710664335664335,0.166759907851631
"Llama8b_PosExamples","Llama8b","PosExamples","precision",0.50761421319797,0.452159090909091,0.568959153543307,0.0606879594645083
"Llama8b_TotN3","Llama8b","TotN3","precision",0.416666666666667,0.25,0.666666666666667,0.268723482887103
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","precision",0.416666666666667,0.22375,0.733035714285714,0.285572836701572
"Llama70b_Vanilla","Llama70b","Vanilla","recall",0.606217616580311,0.552211444179857,0.666666666666667,0.0492199476124782
"Llama70b_AllExamples","Llama70b","AllExamples","recall",0.575129533678757,0.518106557377049,0.622546487603306,0.0458122705937177
"Llama70b_DynExamples","Llama70b","DynExamples","recall",0.658031088082902,0.615121999212908,0.713729508196721,0.0394602449507394
"Llama70b_StringLookup","Llama70b","StringLookup","recall",0.538860103626943,0.479637096774194,0.594315732758621,0.0559291655650343
"Llama70b_NegExamples","Llama70b","NegExamples","recall",0.523316062176166,0.476034637876743,0.579292879622344,0.0505133289530878
"Llama70b_PosExamples","Llama70b","PosExamples","recall",0.595854922279793,0.532604313646442,0.648816355810617,0.0503147480452924
"Llama70b_TotN3","Llama70b","TotN3","recall",0.590673575129534,0.543974630021142,0.64766604657572,0.0503631946841796
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","recall",0.61139896373057,0.557382246376812,0.661677559912854,0.0460217092819692
"Llama8b_Vanilla","Llama8b","Vanilla","recall",0.300518134715026,0.259264605978261,0.345886867143552,0.0793590315009331
"Llama8b_AllExamples","Llama8b","AllExamples","recall",0.0621761658031088,0.036624649859944,0.0830061983471074,0.213677256736383
