"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama70b_Vanilla","Llama70b","Vanilla","precision",0.744588744588745,0.726839844929869,0.764994719454073,0.0134950491176929
"Llama70b_AllExamples","Llama70b","AllExamples","precision",0.794724770642202,0.774479086400381,0.81637407559301,0.0137694671655682
"Llama70b_DynExamples","Llama70b","DynExamples","precision",0.754684838160136,0.732459677419355,0.77977009730867,0.0171268738597125
"Llama70b_StringLookup","Llama70b","StringLookup","precision",0.773263433813893,0.754721985664609,0.794569522169608,0.0142634992241092
"Llama70b_NegExamples","Llama70b","NegExamples","precision",0.815217391304348,0.800904629048301,0.832868154288446,0.010765762806397
"Llama70b_PosExamples","Llama70b","PosExamples","precision",0.787325456498389,0.766884093085996,0.805213749929502,0.0120753541338395
"Llama70b_TotN3","Llama70b","TotN3","precision",0.740499457111835,0.717445017887514,0.760630906561139,0.0152976279963609
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","precision",0.741621621621622,0.72133239774962,0.766875317353317,0.0155525304277349
"Llama8b_Vanilla","Llama8b","Vanilla","precision",0.715328467153285,0.688826065718526,0.733602741462355,0.0175404615564751
"Llama8b_AllExamples","Llama8b","AllExamples","precision",0.658486707566462,0.63877333157246,0.677814596025629,0.0158591514001804
"Llama8b_DynExamples","Llama8b","DynExamples","precision",0.60952380952381,0.58037037037037,0.645047716179792,0.0284804953622526
"Llama8b_StringLookup","Llama8b","StringLookup","precision",0.574094401756312,0.548106357927787,0.595798790432183,0.0212488529635787
"Llama8b_NegExamples","Llama8b","NegExamples","precision",0.706896551724138,0.620833333333333,0.794513574660633,0.0715137148629057
"Llama8b_PosExamples","Llama8b","PosExamples","precision",0.757869249394673,0.720663385976959,0.787558908482822,0.024380907992725
"Llama8b_TotN3","Llama8b","TotN3","precision",0.719087635054022,0.69562436515998,0.747346618001144,0.0185227302872919
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","precision",0.726817042606516,0.70465265208153,0.744466800804829,0.0168809834641974
"Llama70b_Vanilla","Llama70b","Vanilla","recall",0.617594254937163,0.599427559352672,0.636201651455889,0.0171369936544151
"Llama70b_AllExamples","Llama70b","AllExamples","recall",0.622082585278277,0.598907795041763,0.644687068041021,0.0194513293227753
"Llama70b_DynExamples","Llama70b","DynExamples","recall",0.397666068222621,0.375462237558415,0.418261759919939,0.0271075620488955
"Llama70b_StringLookup","Llama70b","StringLookup","recall",0.529622980251346,0.509894300240835,0.552433988764045,0.020829913080028
"Llama70b_NegExamples","Llama70b","NegExamples","recall",0.605924596050269,0.583565629725775,0.626169257043535,0.0182584698292612
"Llama70b_PosExamples","Llama70b","PosExamples","recall",0.657989228007181,0.635813682678311,0.678850463342777,0.018979157686684
"Llama70b_TotN3","Llama70b","TotN3","recall",0.612208258527828,0.589093137254902,0.632246275821487,0.018649785492107
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","recall",0.615798922800718,0.593195023748101,0.635676320776832,0.0183999855380433
"Llama8b_Vanilla","Llama8b","Vanilla","recall",0.527827648114901,0.499218909654761,0.552373137085848,0.0232465576772958
"Llama8b_AllExamples","Llama8b","AllExamples","recall",0.578096947935368,0.559349190915202,0.602268483943241,0.0209471536543179
"Llama8b_DynExamples","Llama8b","DynExamples","recall",0.229802513464991,0.20792039410058,0.247708818332258,0.0491029567056116
