"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama70b_Vanilla","Llama70b","Vanilla","precision",0.702227432590856,0.682284101084469,0.728063725490196,0.0159404737192508
"Llama70b_AllExamples","Llama70b","AllExamples","precision",0.739356178608515,0.718724025974026,0.760104669887279,0.0154805571375487
"Llama70b_DynExamples","Llama70b","DynExamples","precision",0.71259842519685,0.694038499216301,0.733714359771902,0.0153329106710311
"Llama70b_StringLookup","Llama70b","StringLookup","precision",0.69151376146789,0.673421753477927,0.712913602941176,0.0160936902371589
"Llama70b_NegExamples","Llama70b","NegExamples","precision",0.725728155339806,0.704162969425829,0.747619495047754,0.0154942862789252
"Llama70b_PosExamples","Llama70b","PosExamples","precision",0.697560975609756,0.67701455853072,0.718568828875393,0.0159691992767886
"Llama70b_TotN3","Llama70b","TotN3","precision",0.730855855855856,0.70739110707804,0.752835664335664,0.0161936127739474
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","precision",0.731064763995609,0.711285971223022,0.757928096265673,0.0156997318520202
"Llama8b_Vanilla","Llama8b","Vanilla","precision",0.628729281767956,0.60895053187724,0.64715411370663,0.0175691907868098
"Llama8b_AllExamples","Llama8b","AllExamples","precision",0.594594594594595,0.555562439976455,0.627434448852855,0.0348013922888334
"Llama8b_DynExamples","Llama8b","DynExamples","precision",0.604519774011299,0.557173913043478,0.66045652173913,0.0453728212074072
"Llama8b_StringLookup","Llama8b","StringLookup","precision",0.609375,0.571754807692308,0.641657279639538,0.0344015185506739
"Llama8b_NegExamples","Llama8b","NegExamples","precision",0.661016949152542,0.567582417582418,0.759848484848485,0.079873626674401
"Llama8b_PosExamples","Llama8b","PosExamples","precision",0.610798650168729,0.585958102279729,0.631920853800477,0.0211513352794558
"Llama8b_TotN3","Llama8b","TotN3","precision",0.621073961499493,0.599686028257457,0.649326327082009,0.0212429246498013
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","precision",0.627492130115425,0.600751841243862,0.644712483193712,0.0184974608166262
"Llama70b_Vanilla","Llama70b","Vanilla","recall",0.53770197486535,0.520508037239792,0.557862518133462,0.0182196263439095
"Llama70b_AllExamples","Llama70b","AllExamples","recall",0.639138240574506,0.617665489849956,0.663184003282981,0.0182413945941328
"Llama70b_DynExamples","Llama70b","DynExamples","recall",0.649910233393178,0.635057471264368,0.670230198019802,0.014609352284873
"Llama70b_StringLookup","Llama70b","StringLookup","recall",0.541292639138241,0.521716768766125,0.55947325271572,0.0169145108192879
"Llama70b_NegExamples","Llama70b","NegExamples","recall",0.536804308797127,0.517431952662722,0.557445097626294,0.0225115879725934
"Llama70b_PosExamples","Llama70b","PosExamples","recall",0.641831238779174,0.617972695707071,0.665078329774422,0.0188513347776547
"Llama70b_TotN3","Llama70b","TotN3","recall",0.582585278276481,0.559821707545696,0.598891041781415,0.0181849670916439
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","recall",0.597845601436266,0.575166024319742,0.620618385453967,0.0193989723631729
"Llama8b_Vanilla","Llama8b","Vanilla","recall",0.510771992818671,0.486415280397873,0.533103033623175,0.0232092629213039
"Llama8b_AllExamples","Llama8b","AllExamples","recall",0.157989228007181,0.138961842955951,0.170652908204881,0.0480958447813653
"Llama8b_DynExamples","Llama8b","DynExamples","recall",0.0960502692998205,0.0824706572769953,0.107881810122502,0.0693623373946263
"Llama8b_StringLookup","Llama8b","StringLookup","recall",0.175044883303411,0.159004412575841,0.189112411761719,0.0472466559342933
"Llama8b_NegExamples","Llama8b","NegExamples","recall",0.0350089766606822,0.0267570066019171,0.0438018392713165,0.133710206404095
"Llama8b_PosExamples","Llama8b","PosExamples","recall",0.487432675044883,0.461858491897359,0.502938296557719,0.0214923251823266
"Llama8b_TotN3","Llama8b","TotN3","recall",0.550269299820467,0.532386656938579,0.57106175257426,0.0190293738677604
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","recall",0.536804308797127,0.516620498614958,0.554768569687329,0.0188519422172146
"Llama70b_Vanilla","Llama70b","Vanilla","f1_score",0.609049313675648,0.596132927227238,0.624414508893487,0.0131544796290197
"Llama70b_AllExamples","Llama70b","AllExamples","f1_score",0.685604236880116,0.670467605220775,0.703372975080736,0.0138338909365319
"Llama70b_DynExamples","Llama70b","DynExamples","f1_score",0.67981220657277,0.666666666666667,0.697392078413726,0.0119789136541699
"Llama70b_StringLookup","Llama70b","StringLookup","f1_score",0.607250755287009,0.589420289855072,0.62077693299163,0.0135856686760662
"Llama70b_NegExamples","Llama70b","NegExamples","f1_score",0.617131062951496,0.598754964553427,0.636459663979767,0.0165791819963746
"Llama70b_PosExamples","Llama70b","PosExamples","f1_score",0.668536699392239,0.649879165233152,0.686593658558354,0.0144444270591162
"Llama70b_TotN3","Llama70b","TotN3","f1_score",0.648351648351648,0.628887440621017,0.66330228997895,0.014654458224908
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","f1_score",0.657777777777778,0.63607034004376,0.677398845763572,0.0146697699746262
"Llama8b_Vanilla","Llama8b","Vanilla","f1_score",0.563645368994552,0.54356284959553,0.581625324486295,0.0183979771496911
"Llama8b_AllExamples","Llama8b","AllExamples","f1_score",0.249645390070922,0.222328720087713,0.266171875,0.0423957037598446
"Llama8b_DynExamples","Llama8b","DynExamples","f1_score",0.16576297443842,0.143642039871953,0.184633965068748,0.0637968878941785
"Llama8b_StringLookup","Llama8b","StringLookup","f1_score",0.271966527196653,0.249618149737972,0.28995115025101,0.0413911723454196
"Llama8b_NegExamples","Llama8b","NegExamples","f1_score",0.0664961636828645,0.0512095800117334,0.0827554633807323,0.129638015567585
"Llama8b_PosExamples","Llama8b","PosExamples","f1_score",0.54218671992012,0.52246664451878,0.555029123881583,0.01718210630356
"Llama8b_TotN3","Llama8b","TotN3","f1_score",0.583531651594479,0.567855488334266,0.603720758445956,0.0167476323985932
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","f1_score",0.578616352201258,0.56115834104941,0.59324916650575,0.0145615400102167
