Type	variable	Score	Step	Model
Llama70bV3_Lookup_FineTuned_NoExamples_Step1	precision	0.568224299065421	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step1	precision	0.653256704980843	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step2	precision	0.662889518413598	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step2	precision	0.654205607476635	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step3	precision	0.678765880217786	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step3	precision	0.706618962432916	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step1	recall	0.545780969479354	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step1	recall	0.612208258527828	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step2	recall	0.420107719928187	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step2	recall	0.377019748653501	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step3	recall	0.33572710951526	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step3	recall	0.354578096947935	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step1	f1_score	0.556776556776557	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step1	f1_score	0.632066728452271	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step2	f1_score	0.514285714285714	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step2	f1_score	0.478359908883827	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step3	f1_score	0.449249249249249	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step3	f1_score	0.472205618649133	Step3	Llama70bV3_Standard_NoExamples
