Paper	Main	Synonym
Wong etal	RhoA	Myosin II
He etal	JNK	JNK1/2
He etal	DUSP	DUSP1
He etal	ERK	ERK1/2
Park etal	sGC	soluble guanylate cyclase (sgc)
Park etal	NPs	Natriuretic peptides
Park etal	PDE5	PDE-5
Park etal	PKC-e	PKC-ε
Park etal	PKGI	PKG-I
Park etal	PKGI	cgmp-dependent protein kinase (pkg)
Park etal	PKGI	protein kinase g (pkg)
Park etal	PKGI	protein kinase g
Park etal	sGC	soluble guanylate cyclase
Park etal	PKGI	PKG-Iα
Park etal	PKGI	PKG-1β
Park etal	PKGI	PKG
Park etal	MPTP	mitochondrial permeability transition pores (mptp)
Wong etal	RhoGEF	GEF-H1
Chen etal	Mad	maduramicin
