Paper	Protein1	Protein2
Wong etal	BNIP-2	LATS1
Wong etal	LATS1	YAP
Wong etal	LATS1	actin
Wong etal	BNIP-2	YAP
Wong etal	BNIP-2	RhoA
Wong etal	MST1	LATS1
He etal	TRIM11	DUSP
He etal	DUSP	MAPK
He etal	DUSP	ERK
He etal	DUSP	JNK
He etal	DUSP	p38
He etal	TRIM11	JNK
He etal	TRIM11	HN
Valimaki etal	GATA4	NKX2-5
Valimaki etal	GATA4	FOG2
Valimaki etal	GATA4	TBX5
Valimaki etal	MAPK	GATA4
Valimaki etal	GATA4	MEF2C
Valimaki etal	GATA4	HAND2
Valimaki etal	GATA4	SRF
Valimaki etal	GATA4	p300
Valimaki etal	GATA4	CREP
Valimaki etal	GATA4	myogenin
Valimaki etal	NKX2-5	TBX5
Valimaki etal	GATA4	GSK-3β
Valimaki etal	GATA4	ERK
Chen etal	PTEN	Akt
Chen etal	AKT	Erk
Chen etal	PTEN	Erk
Chen etal	ROS	PTEN
Chen etal	MKK1	Erk
Chen etal	Mad	ROS
Chen etal	Akt	PKC
Park etal	PKGI	PDE5
Park etal	NO	sGC
Park etal	sGC	cGMP
Park etal	NPs	pGC
Park etal	PDE5	cGMP
Park etal	phospholamban	SERCA
Park etal	PKC-e	MPTP
Park etal	PKGI	phospholamban
Park etal	H2O2	PKC-e
Park etal	cGMP	PKGI
