reference	ppi_relations	set
10021333	Apontic=Bruno; Bruno=apontic; Bruno=Apontic	Test
10189366_50	NuMA=tubulin	Test
10397761	importin beta=sterol regulatory element-binding protein-2; SREBP-2=importin beta; Ran=p10; importin beta=SREBP-2; SREBP-2=importin beta	Test
10433269	Shank=Homer; mGluR=Homer; Shank=PSD-95; Shank=Homer; Shank=mGluR; PSD-95=NMDA receptor; Shank=PSD-95; Homer=metabotropic glutamate receptors; Homer=inositol trisphosphate receptors; Shank=Homer; Homer=PSD-95; GKAP=PSD-95; Homer=GKAP; Shank=Homer	Test
10446169	presenilin-2=Bcl-X(L); presenilin-1=Bcl-X(L); Bcl-X(L)=PS1; Bcl-X(L)=PS2; PS2=Bcl-X(L); PS2short=Bcl-X(L); PS2Ccas=Bcl-X(L); Bcl-X(L)=PS2	Test
10585430	CIS=GHR; SOCS-2=GHR; SOCS-3=GHR; SOCS-1=GHR; JAK2=GHR	Test
10666337	IIbeta=p53; Human topoisomerase IIalpha=p53; Human topo IIbeta=p53; IIbeta=p53; topo IIalpha=p53; DNA topo II.=p53; doxorubicin=DNA topoisomerase II; etoposide=DNA topoisomerase II	Test
10668096	Cdc14=Yj1076w; Netl=Cdc14	Test
10713156	SCF(beta(TrCP))=IkappaBalpha; SCF(beta(TrCP))=IkappaBalpha; SCF(beta(TrCP))=IkappaBalpha; Cul-1=IkappaBalpha; Cul-1=beta-catenin; Cul-1=betaTrCP	Test
10724160	actin=Arp2/3; Cdc42=actin; WASP=GTPase; WASP=GTPase	Test
10733526	Cdh1=Cdc20; APC=Cdc20; APC=Cdc20; Cdh1=Cdc20; Cdh1=Nek2; Cdh1=B99; APC=Nek2; APC=B99	Test
10763828	SHPS-1=SHP-1; SHP-2=SHPS-1	Test
10770935	estrogen receptor=DRIP205; DRIP205=nuclear receptor; DRIP205=estrogen receptor	Test
10866691	Yck2p=Yck1p; Yck2p=Yck1p	Test
10949293	SUV39H1=histone H3; Suv39h1=histone H3; clr4=histone H3; Su(var)3-9=histone H3	Test
11099047	histone deacetylase-1=p53; PID=p53; PID=metastasis-associated protein 2; PID=MTA2	Test
11121043	Smad8=Smad4; Smad4=Smad5; Smad4=Smad1; Ski=Smad	Test
11133992	Heat shock protein 70=human apurinic/apyrimidinic endonuclease; HSP70=human apurinic/apyrimidinic endonuclease; HSP70=HAP1; HSP70=HAP1	Test
11134534	Cdc2=cyclin B; Cdc2=histone H1; cyclin B=histone H1; Cdc2=cyclin B; Cdc2=histone H1; cyclin B=histone H1; Cdc25C=Cdc2; PKN=Cdc25C; PKN=Cdc25C	Test
11163210	Smad7=Smurf2; Smurf2=Smad7; Smurf2=Smad7; Smad7=TGF beta receptor; Smad7=Smurf2; Smurf2=TGF beta receptor	Test
11250901	TTF-I=PCAF; PCAF=p300; PCAF=TAF(I)68; PCAF=TIF-IB; PCAF=SL1; mSir2a=TAF(I)68; histone deacetylase=TAF(I)68	Test
11274402	Smad3=menin; Menin=Smad3	Test
11298456	Chk2=Cdc25A; ATM=Cdc25A; Cdc25A=Cdk2; Chk2=Cdc25A; Chk2=Cdc25A	Test
11313464	Bruton's tyrosine kinase=TFII-I; JAK2=TFII-I; JAK2=TFII-I; JAK2=TFII-I; ERK=TFII-I; ERK=TFII-I; TFII-I=ERK; JAK2=TFII-I; JAK2=TFII-I; JAK2=STAT; AG490=JAK2; TFII-I=extracellular signal-regulated kinase	Test
11323411	Gab1=SHP2; Grb2-associated binder-1=SHP2; Gab1=SHP2; SHP2=Gab1; SHP2=Gab1; Gab1=SHP2; SHP2=Gab1; Gab1FF=SHP2DeltaN; SHP2=Gab1; SHP2=Gab1; SHP2=Gab1; SHP2=Gab1	Test
11341840	coactivator-associated arginine methyltransferase 1=histone H3; coactivator-associated arginine methyltransferase 1=histone H3; CARM1=H3; CARM1=H3; CARM1=H3; CARM1=H3; CARM1=H3	Test
11416152	cyclin-dependent kinase=pRB; Cdk=cyclin; pRB=E2Fs; pRB=E1A; pRB=E2Fs; pRB=E2Fs; pRB=E1A; pRB=E1A; cyclin D=Cdk4; cyclin D=Cdk6; cyclin D=Cdk4; cyclin D=6; cyclin E=Cdk2; cyclin D=Cdk4; cyclin D=6; Cdk4=pRB; 6=pRB; cyclin D=pRB; cyclin D=Cdk4; cyclin D=6; E2Fs=pRB; Cdk=cyclin; Cdk=pRB; cyclin=pRB; Cdk2=pRB; cyclin E=pRB	Test
11432829	PTP-PEST=Shc; PTP-PEST=paxillin; PTP-PEST=Csk; PTP-PEST=Cas; Shc=PTP-PEST; PTP-PEST=Shc; PTP-PEST=Pyk2; PTP-PEST=Fak; PTP-PEST=Cas	Test
11520069	Bcl-2=BAG-1; BAG-1M=Hsp70; BAG-1S=Hsp70; BAG-1L=Hsp70; BAG-1S=Hsc70; BAG-1L=Hsc70; BAG-1M=Hsc70; BAG-1M=Hsp70; BAG-1M=Hsc70; BAG-1M=Hsc70; BAG-1M=Hsp70	Test
11521196	GAS41=PFDN1; GAS41=KIAA1009; GAS41=nuclear mitotic apparatus protein	Test
11524432	beta1,3-N-acetylglucosaminyltransferase=Notch; Fringe=Notch	Test
11598127	APC=securin; APC=cyclins; cyclin B=Cdc2; cyclin B=human Cdh1; Cdc2=human Cdh1; human Cdc14a=hCdh1; hCdc14a=hCdh1	Test
11598268	prolyl-4-hydroxylases=HIF	Test
11707585	Fringe=Notch	Test
11713274	NRIF3=TRs; NRIF3=RXRs; TR=RXR; NRIF3=TR; NRIF3=RXR; NRIF3=NRIF3	Test
11809749	aldosterone=mineralocorticoid receptor; hsp90=MR	Test
11861468	Rasp=Hh	Test
11867544	ASH1=Khd1; ASH1=Khd1	Test
11874917	Myosin phosphatase=myosin regulatory light chain; MBS=Myosin phosphatase	Test
11897782	Apg12=Apg5; Apg16=Apg5; Apg12=Apg16; Apg12=Apg5; Apg12=Apg5; Apg12=Apg16; Apg5=Apg16; Apg12=Apg5; Apg12=Apg16; Apg5=Apg16; Apg12=Apg5; Apg5=Apg16; Apg12=Apg16; Apg12=Apg5; Apg5=Apg16; Apg12=Apg16	Test
11983168	Cyclin G=PP2A; PP2A=Mdm2; cyclin G=phosphatase 2A; cyclin G=Mdm2; PP2A=Mdm2; cyclin G=PP2A	Test
11997436	Grb2=FRS2 alpha; FRS2 alpha=Cbl; Cbl=Grb2; Cbl=fibroblast growth factor (FGF) receptor; Cbl=FRS2 alpha	Test
12021245	Dup-697=COX-2	Test
12023008	CD47=SHPS-1; SHPS-1=CD47	Test
12036871	von Willebrand factor=platelet glycoprotein (GP) Ib alpha; GPIb alpha=VWF; GPIb alpha=VWF; VWF=GPIb alpha; VWF=GPIb alpha	Test
12052829	ShcA=PTP-PEST; ShcA=PTP-PEST; protein kinase C=ShcA; protein kinase Calpha=ShcA; -epsilon=ShcA; -delta=ShcA; ShcA=PTP-PEST; PTP-PEST=p52(Shc); ShcA=PTP-PEST; PTP-PEST=ShcA	Test
12063250	2-acyl-LPA=EDG7; PLA(1)=PA	Test
12065642	PKA=DARPP-32; Cdk5=DARPP-32; cyclin-dependent protein kinase 5=DARPP-32; cAMP-dependent protein kinase=DARPP-32; calcineurin=DARPP-32; protein phosphatase-2A=DARPP-32	Test
12086618	PR-Set7=histone H4; PR/SET07=histone H4; pr-set7=H4	Test
12135708	phosphatidylinositol (PtdIns) 3-kinase=PLC-gamma2; (GAB)2=Grb2; PLC-gamma2=(GAB)2; SHC=PLC-gamma2; PLC-gamma2=SHP2; PLC-gamma2=GAB2; PLC-gamma2=SHP2; Wortmannin=PtdIns 3-kinase	Test
12151385	Smad7=Smad ubiquitin regulatory factor 1; Smurf1=transforming growth factor-beta type I receptor; Smad7=Smurf1; Smad7=Smurf1; Smad7=Smurf1; TbetaR-I=TbetaR-II; Smad7=TbetaR-II; Smad7=TbetaR-I	Test
12504026	CAND1=CUL1; p120=CUL1; CUL1=CAND1; CUL1=ROC1; SKP1=CUL1; SKP2=CUL1; CAND1=CUL1; CAND1=CUL1; SCF ubiquitin E3 ligase=p27; SCF ubiquitin E3 ligase=IkappaB; SCF ubiquitin E3 ligase=beta-catenin	Test
12548019	Plk3=p53; Plk3=p53; Plk3=Chk2	Test
12609982	TIP120A=cullins; TIP120A=CUL4B; cullins=TIP120A; TIP120A=cullin; TIP120A=CUL1; TIP120A=Rbx1; F-box proteins=CUL1; Skp1=CUL1; SCF(beta-TrCP) ubiquitin ligase=IkappaBalpha	Test
12730668	HDAC1=histone; Gam1=p120; p120=HDAC1; p120=HDAC1; p120=Gam1; HDAC1=Gam1; trichostatin A=HDAC	Test
12748172	NIPA=NPM-ALK; NIPA=ALK	Test
12759363	DEN1=CUL1; DEN1=Nedd8; DEN1=cullin 1; DEN1=CUL1; DEN1=CUL1; COP9 signalosome=CUL1; DEN1=CUL1	Test
12775720	c-Src=PECAM-1; LDL=p38MAPK; PP1=p38MAPK; PP2A=p38MAPK	Test
12815069	Omi=IAP; c-IAP1=caspases	Test
12907755	PTP-H1=GHR; Meg-2=GHR; Pyst-2=GHR; stomach cancer-associated PTP 1=GHR; PTP1B=GHR; PTP-beta=GHR; T cell (TC)-PTP=GHR; GHR=SAP-1; GHR=PTP-H1; GHR=PTP1B; GHR=TC-PTP; PTP-H1=GHR; PTP1B=GHR	Test
13678582	Cdk1=cyclin B1; Ajuba=Aurora-A; Ajuba=Aurora-A; Ajuba=Aurora-A	Test
14536086	ESET=histone H3; SETDB1=mAM; ESET=histone H3; ESET=mAM; ESET=H3; ESET=H3	Test
14562105	TUG=GLUT4; TUG=GLUT4; TUG=GLUT4	Test
14631847	Set9=histone H3; Suv39 h 1=H3; Set9=H3; PRMT1=histone H4; p300=histone H4; p300=histones; PRMT1=histones; CARM1=histone H3; CARM1=H3; PRMT1=H4; PRMT1=histone; CARM1=histone; HDAC=NuRD	Test
14670962	NIP=Numb; NIP=Numb; NIP=Numb	Test
14752096	p300=AML1; p300=AML1; p300=AML1; p300=AML1; p300=AML1; p300=AML1	Test
14759370	CREB binding protein=p53; CBP=p53	Test
14981544	AR=PIASy; PIASy=HDAC1; PIASy=HDAC2; PIASy=AR; PIASy=histone deacetylases	Test
15031289	Shp2=Sprouty; Shp2=Sprouty; fibroblast growth factor receptor=Spry; Shp2=Spry; Shp2=Spry; Spry=Grb2; Shp2=Spry	Test
15064394	SIAH=synphilin-1; SIAH=alpha-synuclein; Synphilin-1=alpha-synuclein; synphilin-1=SIAH-1; synphilin-1=SIAH-2; SIAH=synphilin-1; synphilin-1=SIAH; SIAH-1=synphilin-1; synphilin-1=SIAH; alpha-synuclein=SIAH; SIAH-2=alpha-synuclein; SIAH-1=alpha-synuclein; SIAH-2=alpha-synuclein	Test
15123625	PIAS1=PPARgamma; PIASxbeta=PPARgamma; PPARgamma=PIASxbeta; Ubc9=PPARgamma; PIASxbeta=PPARgamma	Test
